term,label,wiki_news_sim_score,twitter_sim_score,tweet_yes_no,tweet_count,same_section_count,same_paragraph_count,same_sec_yes_no,same_para_yes_no,word_article_yes_no,word_article_count
number,1,0.3461715281009674,0.15538671612739563,1,33579,4687,1115,1,1,1,8046
bowl,1,0.270328551530838,0.10820531845092773,1,1580,502,91,1,1,1,690
leaf,1,0.32071369886398315,0.17155863344669342,1,990,415,70,1,1,1,658
people,1,0.33485499024391174,0.23030926287174225,1,205118,4569,1344,1,1,1,7465
food,1,0.41021841764450073,0.09757192432880402,1,6677,1318,260,1,1,1,2461
counter,1,0.35200387239456177,0.1500929445028305,1,7339,1157,201,1,1,1,2321
airplane,1,0.32210731506347656,0.31227537989616394,1,182,142,6,1,1,1,285
jacket,1,0.3213918209075928,0.06570955365896225,1,890,103,13,1,1,1,187
box,1,0.24724876880645752,0.02774624712765217,1,8757,1553,339,1,1,1,2555
rock,1,0.3621194362640381,0.08305704593658447,1,8923,2245,426,1,1,1,2979
bird,1,0.35787245631217957,0.20822735130786896,1,4195,754,112,1,1,1,1245
letter,1,0.1789969801902771,0.028685646131634712,1,4103,800,82,1,1,1,1723
child,1,0.4151845872402191,0.23120391368865967,1,43099,2436,494,1,1,1,4409
spaces,1,0.4114445447921753,0.2322906106710434,1,18508,1503,564,1,1,1,2280
towel,1,0.20248162746429443,-0.0011008791625499725,1,126,29,5,1,1,1,56
book,1,0.2980927526950836,0.08141319453716278,1,11630,1757,298,1,1,1,3638
nose,1,0.272325336933136,0.11097247153520584,1,1664,212,26,1,1,1,438
concourse,1,0.39026397466659546,0.18341970443725586,1,261,417,215,1,1,1,482
street,1,0.5842071771621704,0.3880719840526581,1,253766,9885,6832,1,1,1,7757
short,1,0.401334285736084,0.08874063193798065,1,14739,3480,775,1,1,1,6017
engine,1,0.2888372242450714,0.266202449798584,1,13788,2706,593,1,1,1,4111
crosswalks,1,0.5040268301963806,0.3495579957962036,1,23176,145,139,1,1,1,137
parks,1,0.4103880524635315,0.2976897656917572,1,14615,1687,592,1,1,1,2341
wave,1,0.34230899810791016,0.18583276867866516,1,5765,630,110,1,1,1,1148
crosswalk,1,0.5475706458091736,0.5577405691146851,1,129272,270,265,1,1,1,243
cup,1,0.19778326153755188,0.010959899052977562,1,11460,2740,530,1,1,1,4888
accidents,1,0.41936424374580383,0.4390053153038025,1,18537,561,245,1,1,1,785
drawer,1,0.1881546974182129,-0.01940011791884899,1,29,28,1,1,1,1,51
entrance,1,0.39998120069503784,0.29591602087020874,1,8902,2950,1365,1,1,1,4282
tunnel,1,0.4064822793006897,0.372067928314209,1,11748,2276,1282,1,1,1,2540
sidewalks,1,0.49858182668685913,0.3113872706890106,1,77442,719,522,1,1,1,845
traffic,1,0.6015889644622803,0.4784031808376312,1,241141,6624,4684,1,1,1,7132
zebra,1,0.37399575114250183,0.1633685678243637,1,17667,92,75,1,1,1,83
fruit,1,0.34795379638671875,0.026989102363586426,1,1376,379,43,1,1,1,773
tree,1,0.35546356439590454,0.2239447832107544,1,375630,10660,7207,1,1,1,11936
racket,1,0.3551642596721649,0.12192961573600769,1,195,235,37,1,1,1,388
flag,1,0.28856104612350464,0.10233675688505173,1,7456,857,145,1,1,1,1554
tie,1,0.26906439661979675,0.1111815869808197,1,153694,8712,2893,1,1,1,12146
house,1,0.3176339268684387,0.11526553332805634,1,18190,6194,1669,1,1,1,8528
parking,1,0.5239463448524475,0.3826512098312378,1,52361,2673,1221,1,1,1,3389
face,1,0.2897733151912689,0.04521990567445755,1,26836,3180,804,1,1,1,5226
corridor,1,0.4447898268699646,0.3537483811378479,1,5538,1144,387,1,1,1,1530
shelf,1,0.28182119131088257,-0.008397087454795837,1,125,61,12,1,1,1,124
building,1,0.42083221673965454,0.28684496879577637,1,23745,7811,3390,1,1,1,10067
dog,1,0.3896304965019226,0.2423805296421051,1,18279,856,160,1,1,1,1266
post,1,0.2976560592651367,0.11856058984994888,1,34712,3374,687,1,1,1,5351
jean,1,0.261963427066803,-0.0507458858191967,1,572,477,65,1,1,1,78
paw,1,0.23631247878074646,0.1451500952243805,1,1823,249,31,1,1,1,435
plazas,1,0.3960281014442444,0.07127324491739273,1,3028,202,106,1,1,1,296
hair,1,0.22995585203170776,0.027970582246780396,1,23060,1350,281,1,1,1,2876
bag,1,0.3279126286506653,0.05748862773180008,1,12526,934,173,1,1,1,1432
snow,1,0.35910940170288086,0.21631601452827454,1,12057,681,131,1,1,1,1187
bridge,1,0.4911554157733917,0.49712473154067993,1,185238,9122,8089,1,1,1,8603
laptop,1,0.33903372287750244,0.00838899239897728,1,375,41,7,1,1,1,75
sidewalk,1,0.6026254892349243,0.36925584077835083,1,115174,1128,826,1,1,1,1318
shopping,1,0.44368788599967957,0.10047424584627151,1,7453,2302,1222,1,1,1,3005
walkways,1,0.5238358974456787,0.2098989337682724,1,12984,614,465,1,1,1,711
kid,1,0.36884960532188416,0.17483365535736084,1,26800,696,90,1,1,1,976
tunnels,1,0.3287879228591919,0.18706128001213074,1,2237,688,287,1,1,1,984
mountain,1,0.37025368213653564,0.14352160692214966,1,1294,1202,239,1,1,1,1528
bench,1,0.33145904541015625,0.11745183169841766,1,2227,516,169,1,1,1,825
plane,1,0.3221004009246826,0.2746276259422302,1,4763,769,93,1,1,1,1269
truck,1,0.43575263023376465,0.32002708315849304,1,146701,1554,546,1,1,1,2365
walkway,1,0.540128231048584,0.37098443508148193,1,37061,1658,1341,1,1,1,1788
malls,1,0.3410630226135254,0.19292311370372772,1,4561,368,203,1,1,1,605
door,1,0.3297894299030304,0.1586506962776184,1,17597,2660,700,1,1,1,4580
kite,1,0.285611093044281,0.09993169456720352,1,465,76,12,1,1,1,158
umbrella,1,0.2623376250267029,0.1512451469898224,1,1481,109,22,1,1,1,228
basket,1,0.31403905153274536,0.023744741454720497,1,2121,422,65,1,1,1,1176
trunk,1,0.3495906591415405,0.15147395431995392,1,340,397,118,1,1,1,530
cow,1,0.3234788179397583,0.17427027225494385,1,5060,752,122,1,1,1,913
bottle,1,0.24864082038402557,0.0022424012422561646,1,3506,351,68,1,1,1,628
bicycle,1,0.6266753673553467,0.40395572781562805,1,35146,2451,2053,1,1,1,2494
accident,1,0.42377784848213196,0.49633127450942993,1,134453,1340,542,1,1,1,2020
beach,1,0.3689882159233093,0.1499389111995697,1,3524,1272,430,1,1,1,1192
promenade,1,0.5023811459541321,0.233007550239563,1,1508,501,293,1,1,1,472
room,1,0.26926130056381226,0.09099151194095612,1,17145,2912,602,1,1,1,4801
man,1,0.47980791330337524,0.1536526381969452,1,435235,13482,5616,1,1,1,15479
pathways,1,0.41287556290626526,0.1980946660041809,1,5994,234,154,1,1,1,305
pot,1,0.22548794746398926,0.07449609786272049,1,39162,3248,707,1,1,1,5416
arm,1,0.4271102547645569,0.12962941825389862,1,50639,5110,1012,1,1,1,7867
ear,1,0.34355399012565613,0.12011270225048065,1,470377,15279,7119,1,1,1,17265
plate,1,0.3276907205581665,0.15785092115402222,1,5217,875,153,1,1,1,1563
bus,1,0.4569554328918457,0.3093937039375305,1,177031,7690,2878,1,1,1,9990
paths,1,0.46309900283813477,0.29157358407974243,1,32705,1198,794,1,1,1,1544
surfboard,1,0.3093526065349579,0.0652959942817688,1,9,6,1,1,1,1,23
seat,1,0.3453596234321594,0.22365161776542664,1,12225,2115,476,1,1,1,3574
helmet,1,0.37959277629852295,0.31179267168045044,1,8383,122,24,1,1,1,227
cat,1,0.2842247486114502,0.21779727935791016,1,97098,13431,5489,1,1,1,16203
animal,1,0.4528111219406128,0.21003347635269165,1,5504,824,188,1,1,1,1374
windshield,1,0.3410254716873169,0.22161975502967834,1,45917,89,24,1,1,1,158
bed,1,0.26921582221984863,0.046636298298835754,1,18374,3603,833,1,1,1,6162
vehicle,1,0.5493091344833374,0.5524240136146545,1,174473,4135,2648,1,1,1,4683
desk,1,0.26745691895484924,0.14950397610664368,1,1324,163,17,1,1,1,307
driver,1,0.5065696835517883,0.42095375061035156,1,250006,1802,810,1,1,1,2362
passenger,1,0.5141371488571167,0.33409881591796875,1,15793,2746,855,1,1,1,3986
chair,1,0.280498743057251,0.12309958785772324,1,18264,1094,234,1,1,1,1981
neck,1,0.286274254322052,0.1748540997505188,1,2568,500,101,1,1,1,776
lanes,1,0.4674041271209717,0.4286898970603943,1,64820,2018,1056,1,1,1,2572
handle,1,0.3193627595901489,0.12332808971405029,1,6773,750,121,1,1,1,1672
table,1,0.2902805209159851,0.07924842834472656,1,26218,3813,830,1,1,1,7014
curtain,1,0.28175926208496094,0.1628088653087616,1,117,204,35,1,1,1,307
fork,1,0.3460705876350403,0.17000658810138702,1,1182,289,62,1,1,1,295
hand,1,0.3665163218975067,0.10015895962715149,1,67627,3284,699,1,1,1,5861
plant,1,0.34110337495803833,0.2513113021850586,1,5694,2055,426,1,1,1,3499
transit,1,0.4735044538974762,0.39857614040374756,1,28474,2334,851,1,1,1,2823
glove,1,0.31900468468666077,0.15728916227817535,1,1110,111,10,1,1,1,161
neighborhoods,1,0.34470999240875244,0.2646145522594452,1,4666,720,234,1,1,1,1333
track,1,0.4079935550689697,0.1795220673084259,1,17375,3848,1712,1,1,1,5592
tail,1,0.2800048887729645,0.18626588582992554,1,19947,3165,943,1,1,1,5561
streets,1,0.45325735211372375,0.27267390489578247,1,136022,3537,1865,1,1,1,4230
route,1,0.4170646071434021,0.3119708299636841,1,27063,4656,1744,1,1,1,6130
pizza,1,0.3473278284072876,-0.0633949562907219,1,678,109,18,1,1,1,116
routes,1,0.36627063155174255,0.34904253482818604,1,10288,1655,451,1,1,1,3123
board,1,0.2594725787639618,0.15078210830688477,1,15827,2934,618,1,1,1,4443
transportation,1,0.46161478757858276,0.3154377043247223,1,14689,2297,820,1,1,1,2499
girl,1,0.3754383623600006,0.14266476035118103,1,15010,842,115,1,1,1,1316
lane,1,0.5173583626747131,0.4253484308719635,1,120776,4371,2060,1,1,1,5003
boot,1,0.35332074761390686,0.11496870964765549,1,2412,621,99,1,1,1,891
light,1,0.4362027049064636,0.20362716913223267,1,203744,6090,2083,1,1,1,8395
collision,1,0.44906264543533325,0.5430316925048828,1,49905,602,317,1,1,1,739
wheel,1,0.4238544702529907,0.2739794850349426,1,27910,1289,374,1,1,1,1765
tower,1,0.34727853536605835,0.20119215548038483,1,2034,2778,812,1,1,1,3357
sign,1,0.340044230222702,0.1941632628440857,1,164623,10538,4831,1,1,1,13293
fence,1,0.40480706095695496,0.37647467851638794,1,8424,1001,326,1,1,1,1829
plaza,1,0.4666861891746521,0.16924232244491577,1,8964,1621,822,1,1,1,1213
finger,1,0.3488030433654785,0.11132566630840302,1,2113,227,37,1,1,1,387
roof,1,0.30769217014312744,0.21001066267490387,1,4845,2095,531,1,1,1,3301
hat,1,0.3106323480606079,0.07003732770681381,1,748214,14382,7730,1,1,1,16420
mouth,1,0.24330353736877441,0.051945142447948456,1,6141,925,213,1,1,1,1824
skateboard,1,0.44661232829093933,0.24201317131519318,1,1660,114,54,1,1,1,194
paper,1,0.25606364011764526,0.0802137553691864,1,6118,1242,153,1,1,1,3140
pant,1,0.34657546877861023,0.04199836403131485,1,6828,922,178,1,1,1,1579
skier,1,0.39906609058380127,0.19781498610973358,1,178,49,13,1,1,1,116
train,1,0.3633250594139099,0.32085010409355164,1,34591,4474,1248,1,1,1,6788
overpasses,1,0.4406188130378723,0.20266130566596985,1,1196,137,84,1,1,1,174
bike,1,0.5503332614898682,0.3667203187942505,1,206044,1475,913,1,1,1,1712
tile,1,0.3185567855834961,0.08449367433786392,1,9709,1423,351,1,1,1,2712
motorist,1,0.6084293127059937,0.47467440366744995,1,51862,559,274,1,1,1,681
lamp,1,0.3250091075897217,0.18281963467597961,1,3440,550,131,1,1,1,834
screen,1,0.33086490631103516,0.09765557944774628,1,3728,1017,241,1,1,1,1999
shirt,1,0.27268874645233154,0.02170020528137684,1,1687,112,11,1,1,1,284
horse,1,0.3630293011665344,0.2334168553352356,1,11211,1508,494,1,1,1,2243
glass,1,0.36073756217956543,0.13132233917713165,1,3721,1426,348,1,1,1,2286
amenities,1,0.36376523971557617,0.1871996521949768,1,1049,399,150,1,1,1,663
men,1,0.3150583803653717,0.07851649820804596,1,359960,15785,8576,1,1,1,17248
cobblestone,1,0.4889759421348572,0.220613494515419,1,475,91,50,1,1,1,148
window,1,0.3390790820121765,0.2671627700328827,1,8279,1443,339,1,1,1,2237
tire,1,0.47545167803764343,0.19145271182060242,1,22476,2975,712,1,1,1,5790
branch,1,0.3331972360610962,0.2565518021583557,1,1720,1709,344,1,1,1,2909
sheep,1,0.2985773980617523,0.2277454435825348,1,494,196,23,1,1,1,343
phone,1,0.295549213886261,0.09959399700164795,1,28489,994,169,1,1,1,1911
mall,1,0.4555298089981079,0.24657076597213745,1,42765,6718,2706,1,1,1,9582
motorcycle,1,0.5134286284446716,0.4118396043777466,1,6414,480,159,1,1,1,720
lady,1,0.38328659534454346,0.08644913136959076,1,6512,572,63,1,1,1,311
logo,1,0.22593161463737488,-0.027494734153151512,1,787,321,35,1,1,1,762
sneaker,1,0.3175124526023865,0.18044829368591309,1,215,12,0,1,0,1,15
banana,1,0.3346339762210846,0.0020636171102523804,1,387,85,12,1,1,1,124
bridges,1,0.421042263507843,0.29831433296203613,1,20950,2536,1356,1,1,1,3291
person,1,0.4059886038303375,0.23655973374843597,1,44290,2281,455,1,1,1,4506
wire,1,0.3068625330924988,0.13598491251468658,1,3574,628,95,1,1,1,1020
cap,1,0.2482694536447525,0.031218107789754868,1,39696,6069,1777,1,1,1,8668
elephant,1,0.37184906005859375,0.18709945678710938,1,354,160,23,1,1,1,187
ski,1,0.33549582958221436,0.1800800859928131,1,44067,2524,440,1,1,1,4576
car,1,0.48418986797332764,0.34254539012908936,1,574986,11210,5035,1,1,1,12632
pole,1,0.3148135542869568,0.166309654712677,1,4045,727,136,1,1,1,1356
head,1,0.29101425409317017,0.17751209437847137,1,56618,4973,1186,1,1,1,7931
sock,1,0.28544461727142334,0.1170976310968399,1,452,85,8,1,1,1,172
collisions,1,0.4208430051803589,0.362566202878952,1,10488,248,135,1,1,1,329
coat,1,0.3205139636993408,0.06300552189350128,1,2282,482,82,1,1,1,991
roads,1,0.4613784849643707,0.4080612063407898,1,102004,3017,1138,1,1,1,4206
overpass,1,0.4976285696029663,0.5456959009170532,1,6511,651,449,1,1,1,705
railing,1,0.4335116147994995,0.23396171629428864,1,1982,387,151,1,1,1,614
city,1,0.4324343204498291,0.22521334886550903,1,157260,10447,5051,1,1,1,10843
shoe,1,0.3920268714427948,0.20616112649440765,1,2396,452,82,1,1,1,765
stand,1,0.33999741077423096,0.09114944189786911,1,49269,4583,1098,1,1,1,7484
woman,1,0.43312931060791016,0.26867759227752686,1,27212,805,120,1,1,1,1511
road,1,0.517768144607544,0.4086294174194336,1,343585,10837,6379,1,1,1,11406
eye,1,0.3715648055076599,0.16355249285697937,1,30627,1350,243,1,1,1,2539
underpass,1,0.5800076723098755,0.42892396450042725,1,5260,719,597,1,1,1,758
bicyclist,1,0.6673351526260376,0.5987691283226013,1,24949,429,353,1,1,1,410
flower,1,0.3256356418132782,0.16172237694263458,1,2420,564,117,1,1,1,1020
leg,1,0.4113435745239258,0.1531970500946045,1,91686,4985,1097,1,1,1,8189
hill,1,0.33279094099998474,0.21470026671886444,1,21524,3736,910,1,1,1,4174
clock,1,0.3082621395587921,0.2518377900123596,1,2596,736,149,1,1,1,1207
bear,1,0.3263282775878906,0.05116738751530647,1,6711,1064,157,1,1,1,1728
highway,1,0.5360780954360962,0.48125603795051575,1,26609,2967,1071,1,1,1,2753
boat,1,0.3703003227710724,0.26005232334136963,1,2131,1283,297,1,1,1,2122
wing,1,0.32877612113952637,0.16741353273391724,1,69219,7073,1769,1,1,1,11082
boy,1,0.3509948253631592,0.12424693256616592,1,16101,1229,190,1,1,1,1734
crossings,1,0.4876534044742584,0.3980353772640228,1,49557,946,667,1,1,1,1365
cabinet,1,0.18689079582691193,-0.013675838708877563,1,509,224,20,1,1,1,362
pocket,0,0.32458388805389404,-0.01404641568660736,1,1181,226,45,1,1,1,404
june,0,0.07573165744543076,0.10946976393461227,1,397,3079,591,1,1,1,4
cranberry,0,0.29780489206314087,0.05075494199991226,1,24,13,1,1,1,1,10
bowl,0,0.270328551530838,0.10820531845092773,1,1580,502,91,1,1,1,690
dessert,0,0.2893228530883789,0.016701634973287582,1,80,23,2,1,1,1,70
leaf,0,0.32071369886398315,0.17155863344669342,1,990,415,70,1,1,1,658
juice,0,0.2761688828468323,0.030214913189411163,1,347,64,3,1,1,1,107
pie,0,0.23632659018039703,-0.05326058715581894,1,24236,4310,1112,1,1,1,6799
pies,0,0.21315647661685944,-0.03829048573970795,1,868,736,161,1,1,1,1678
spring,0,0.25738126039505005,0.0833238959312439,1,4134,1671,339,1,1,1,2025
newton,0,0.24716413021087646,0.15756939351558685,1,188,157,27,1,1,1,12
stem,0,0.3093090057373047,0.009997544810175896,1,28708,4743,1496,1,1,1,7422
potato,0,0.2757558226585388,0.05612604320049286,1,266,90,3,1,1,1,184
moon,0,0.3340391516685486,0.13177135586738586,1,1368,389,44,1,1,1,343
nut,0,0.33095282316207886,0.13078942894935608,1,36857,1964,396,1,1,1,3867
image,0,0.3395228981971741,0.12342304736375809,1,6542,1186,326,1,1,1,2086
macintosh,0,0.3052602708339691,-0.09141525626182556,1,13,7,2,1,1,0,0
store,0,0.3162056803703308,0.11688931286334991,1,12625,3916,1221,1,1,1,6018
leaves,0,0.28836679458618164,0.21271729469299316,1,3048,409,70,1,1,1,893
jelly,0,0.20269393920898438,-0.008453309535980225,1,191,41,2,1,1,1,39
slice,0,0.3450891077518463,0.09238222241401672,1,506,59,10,1,1,1,119
york,0,0.20277345180511475,0.19945171475410461,1,3138,2926,865,1,1,1,20
oak,0,0.21752910315990448,0.14949175715446472,1,3156,994,215,1,1,1,844
pumpkin,0,0.2922552824020386,0.10280494391918182,1,249,32,1,1,1,1,38
cream,0,0.20374859869480133,-0.02114221081137657,1,5972,315,52,1,1,1,567
frost,0,0.2863618731498718,0.1818339079618454,1,529,145,14,1,1,1,224
martha,0,0.21693077683448792,0.03638320416212082,1,109,93,11,1,1,0,0
cup,0,0.19778326153755188,0.010959899052977562,1,11460,2740,530,1,1,1,4888
davis,0,0.175573468208313,0.17612573504447937,1,560,344,46,1,1,1,2
flesh,0,0.3251551687717438,0.11880935728549957,1,487,50,7,1,1,1,92
fruit,0,0.34795379638671875,0.026989102363586426,1,1376,379,43,1,1,1,773
tree,0,0.35546356439590454,0.2239447832107544,1,375630,10660,7207,1,1,1,11936
fiona,0,0.19812290370464325,0.009686492383480072,1,151,27,3,1,1,0,0
cake,0,0.22371302545070648,-0.06188272684812546,1,1484,104,13,1,1,1,227
rind,0,0.23255015909671783,-0.021586034446954727,1,1865,203,31,1,1,1,458
bite,0,0.29148805141448975,0.1521417498588562,1,2759,852,187,1,1,1,1935
piece,0,0.35960960388183594,0.06509410589933395,1,13192,1275,252,1,1,1,2494
species,0,0.31707197427749634,0.24728795886039734,1,852,433,83,1,1,1,1024
crystal,0,0.21705901622772217,0.09124468266963959,1,289,236,30,1,1,1,201
oyster,0,0.3089023232460022,0.17828285694122314,1,32,74,8,1,1,1,96
face,0,0.2897733151912689,0.04521990567445755,1,26836,3180,804,1,1,1,5226
picture,0,0.33021754026412964,0.12393692135810852,1,12121,918,145,1,1,1,1731
menu,0,0.295653760433197,0.06463836133480072,1,238,79,7,1,1,1,149
eyes,0,0.2948170304298401,0.10634298622608185,1,8456,366,50,1,1,1,639
hair,0,0.22995585203170776,0.027970582246780396,1,23060,1350,281,1,1,1,2876
pear,0,0.2783914804458618,0.014809437096118927,1,15634,2930,610,1,1,1,5570
taste,0,0.3687736988067627,-0.025686509907245636,1,2955,202,22,1,1,1,389
washington,0,0.20726743340492249,0.1929488629102707,1,2642,1542,394,1,1,1,5
quince,0,0.20185498893260956,0.03177794814109802,1,75,17,4,1,1,1,13
flavor,0,0.3504166007041931,0.05967029184103012,1,215,45,10,1,1,1,113
arrow,0,0.32710424065589905,0.18040138483047485,1,25387,2124,696,1,1,1,3392
varieties,0,0.31222158670425415,0.10158155858516693,1,36,83,12,1,1,1,231
cobbler,0,0.36201363801956177,0.0677897036075592,1,26,22,7,1,1,1,25
cherry,0,0.24409739673137665,-0.0077196210622787476,1,487,203,36,1,1,1,146
teaspoon,0,0.19410990178585052,-0.02608209103345871,1,4,0,0,0,0,1,1
bark,0,0.1844668686389923,0.23635658621788025,1,1567,423,81,1,1,1,649
wine,0,0.32943451404571533,0.06168161332607269,1,885,400,64,1,1,1,781
scent,0,0.2728894054889679,0.028564635664224625,1,2286,824,172,1,1,1,1730
shape,0,0.3324955701828003,0.02656230330467224,1,3749,1529,352,1,1,1,2714
color,0,0.32686546444892883,0.047748349606990814,1,9957,1099,231,1,1,1,1664
